,importance,feature
1607,0.10471185168526423,v21v10
181,0.10385149379391599,v52v38
59,0.10175184994267031,v79v110
113,0.10059327041694557,v79v129
136,0.09963149831281805,v75v113
662,0.09898498873211642,v22_v31_v30_v107
1801,0.09832554663153972,v106v48
1095,0.09830305451027195,v22_v38_v75_v52
987,0.09819374504303474,v22_v72_v24_v71
253,0.0979045034671796,v52v75
76,0.09661779625925311,v38v47
1281,0.09660397327179758,v22_v62_v66_v75
151,0.09569657833527394,v75v62
637,0.09569403616972876,v22_v129_v72_v52
1460,0.09538878676279601,v22_v47_v31_v71
117,0.09501875509000159,v24v129
103,0.09496708471270879,v75v31
110,0.09488790143369022,v72v129
2258,0.09463207579764038,v50_v4_v33
951,0.0944353508139614,v22_v38_v79_v52
2280,0.09394403552375034,v50_v83_v88
30,0.09366969876699449,v110
43,0.09356891623296412,v24
1714,0.0922482802217123,v12v21
69,0.09213260209529439,v52v110
1261,0.09139768977407074,v22_v91_v75_v125
235,0.09135098406057225,v75v24
1634,0.09088150010731526,v21v14
226,0.09078820683800795,v112v107
1755,0.09055823949973406,v111v4
160,0.08959262979002379,v30v72
152,0.08892737661448774,v71v62
678,0.088695388775485,v22_v113_v62_v24
86,0.08843140239705374,v71v47
80,0.08812054082830001,v30v47
1787,0.08742747454790466,v61v123
206,0.0871448110444465,v30v56
106,0.0862420248167895,v52v31
1684,0.08519913991212401,v65v34
1708,0.08474148918773666,v111v114
218,0.0844357164848809,v112v30
1639,0.0837100029133749,v12v14
1903,0.08321496311419328,v111v101
241,0.0831736821116766,v75v112
214,0.08264246038603812,v52v56
1760,0.08230381882813746,v106v119
1981,0.08225697608216108,v65v33
217,0.08167625299586442,v24v30
1660,0.08125072740362324,v21v34
2233,0.08114211016108903,v50_v48_v101
1312,0.08105283411061064,v22_v38_v112_v91
211,0.08071261358506354,v75v56
1670,0.08059991988222723,v85v34
2250,0.08043649841343968,v50_v61_v121
175,0.08042132252290875,v24v38
779,0.08030034737963689,v22_v38_v66_v56
1370,0.07828255891422238,v22_v129_v38_v112
209,0.0781626840074718,v112v56
132,0.07814432369925431,v107v113
120,0.07803039075010768,v75v129
163,0.07739451164545097,v112v72
